"eid","subject_abbreviation","subject"
"2-s2.0-0033391110","Atmos","Atmosphere"
"2-s2.0-0032916454","Atmos","Atmosphere"
"2-s2.0-0033027319","Atmos","Atmosphere"
"2-s2.0-0033389775","Atmos","Atmosphere"
"2-s2.0-0033117437","Atmos","Atmosphere"
"2-s2.0-0032958638","Bio-M","Biosphere - Marine"
"2-s2.0-0032745591","Bio-M","Biosphere - Marine"
"2-s2.0-0032821720","Bio-M","Biosphere - Marine"
"2-s2.0-0032795299","Bio-M","Biosphere - Marine"
"2-s2.0-0033380789","Bio-M","Biosphere - Marine"
"2-s2.0-0032991223","Bio-M","Biosphere - Marine"
"2-s2.0-0032729510","Bio-M","Biosphere - Marine"
"2-s2.0-0032736870","Bio-M","Biosphere - Marine"
"2-s2.0-0032859624","Bio-M","Biosphere - Marine"
"2-s2.0-0032784172","Bio-M","Biosphere - Marine"
"2-s2.0-0032867547","Bio-M","Biosphere - Marine"
"2-s2.0-0032968743","Bio-M","Biosphere - Marine"
"2-s2.0-0032975927","Bio-M","Biosphere - Marine"
"2-s2.0-0033568902","Bio-M","Biosphere - Marine"
"2-s2.0-0032844407","Bio-M","Biosphere - Marine"
"2-s2.0-0032712015","Bio-M","Biosphere - Marine"
"2-s2.0-0032760590","Bio-M","Biosphere - Marine"
"2-s2.0-0033545398","Bio-M","Biosphere - Marine"
"2-s2.0-0032996608","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032896035","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032971751","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032995528","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0033149960","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032830339","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032751757","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032702038","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0344416981","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032698725","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0033377973","Cryos","Cryosphere"
"2-s2.0-0033368765","Cryos","Cryosphere"
"2-s2.0-0033406255","Cryos","Cryosphere"
"2-s2.0-0033367269","Cryos","Cryosphere"
"2-s2.0-0033569074","Cryos","Cryosphere"
"2-s2.0-0033486402","Geosp","Geosphere"
"2-s2.0-0033502138","Geosp","Geosphere"
"2-s2.0-0033166223","Geosp","Geosphere"
"2-s2.0-0033453306","Geosp","Geosphere"
"2-s2.0-0033494526","Geosp","Geosphere"
"2-s2.0-0032858021","Geosp","Geosphere"
"2-s2.0-0033396157","Geosp","Geosphere"
"2-s2.0-0032703428","Geosp","Geosphere"
"2-s2.0-0032753681","Human","Human"
"2-s2.0-0141435083","Human","Human"
"2-s2.0-0033567606","Ocean","Oceans"
"2-s2.0-0032786219","Ocean","Oceans"
"2-s2.0-0033047457","Ocean","Oceans"
"2-s2.0-1542783338","Atmos","Atmosphere"
"2-s2.0-0032171244","Atmos","Atmosphere"
"2-s2.0-0032436948","Atmos","Atmosphere"
"2-s2.0-0031772174","Bio-M","Biosphere - Marine"
"2-s2.0-0031663302","Bio-M","Biosphere - Marine"
"2-s2.0-0031688997","Bio-M","Biosphere - Marine"
"2-s2.0-0031926183","Bio-M","Biosphere - Marine"
"2-s2.0-0001796516","Bio-M","Biosphere - Marine"
"2-s2.0-0032500163","Bio-M","Biosphere - Marine"
"2-s2.0-0032300008","Bio-M","Biosphere - Marine"
"2-s2.0-3543048806","Bio-M","Biosphere - Marine"
"2-s2.0-0032124710","Bio-M","Biosphere - Marine"
"2-s2.0-0031987250","Bio-M","Biosphere - Marine"
"2-s2.0-0032300362","Bio-M","Biosphere - Marine"
"2-s2.0-0031857114","Bio-M","Biosphere - Marine"
"2-s2.0-0032431215","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031729775","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032168901","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031883938","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031883651","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031885162","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032438723","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032410343","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031695651","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031969337","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032321399","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032426021","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0001581099","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0032571685","Cryos","Cryosphere"
"2-s2.0-0010832964","Cryos","Cryosphere"
"2-s2.0-0032409198","Cryos","Cryosphere"
"2-s2.0-0031803710","Cryos","Cryosphere"
"2-s2.0-0032437332","Cryos","Cryosphere"
"2-s2.0-0032423656","Cryos","Cryosphere"
"2-s2.0-0031853856","Cryos","Cryosphere"
"2-s2.0-0031885593","Geosp","Geosphere"
"2-s2.0-0000732036","Geosp","Geosphere"
"2-s2.0-0001248325","Geosp","Geosphere"
"2-s2.0-0010573301","Geosp","Geosphere"
"2-s2.0-0000354097","Geosp","Geosphere"
"2-s2.0-0000518827","Geosp","Geosphere"
"2-s2.0-0000676440","Geosp","Geosphere"
"2-s2.0-0032124736","Geosp","Geosphere"
"2-s2.0-0031850003","Geosp","Geosphere"
"2-s2.0-0001560708","Geosp","Geosphere"
"2-s2.0-0000594774","Geosp","Geosphere"
"2-s2.0-0032125313","Geosp","Geosphere"
"2-s2.0-0032416812","Geosp","Geosphere"
"2-s2.0-0000162614","Geosp","Geosphere"
"2-s2.0-0000232140","Geosp","Geosphere"
"2-s2.0-0031684441","Geosp","Geosphere"
"2-s2.0-0001015827","Geosp","Geosphere"
"2-s2.0-0000016146","Geosp","Geosphere"
"2-s2.0-0031809588","Geosp","Geosphere"
"2-s2.0-0001482903","Geosp","Geosphere"
"2-s2.0-0032427930","Geosp","Geosphere"
"2-s2.0-0031839746","Geosp","Geosphere"
"2-s2.0-0000348097","Geosp","Geosphere"
"2-s2.0-0031866203","Human","Human"
"2-s2.0-0031831951","Human","Human"
"2-s2.0-85012480560","Human","Human"
"2-s2.0-0031617073","Human","Human"
"2-s2.0-0001168367","Ocean","Oceans"
"2-s2.0-0031976145","Ocean","Oceans"
"2-s2.0-0031282554","Atmos","Atmosphere"
"2-s2.0-0031200772","Atmos","Atmosphere"
"2-s2.0-0031354605","Atmos","Atmosphere"
"2-s2.0-0031111457","Atmos","Atmosphere"
"2-s2.0-0000206903","Atmos","Atmosphere"
"2-s2.0-0642373374","Atmos","Atmosphere"
"2-s2.0-0031464776","Atmos","Atmosphere"
"2-s2.0-0030875805","Bio-M","Biosphere - Marine"
"2-s2.0-0030723020","Bio-M","Biosphere - Marine"
"2-s2.0-0031431323","Bio-M","Biosphere - Marine"
"2-s2.0-0031932374","Bio-M","Biosphere - Marine"
"2-s2.0-0031467184","Bio-M","Biosphere - Marine"
"2-s2.0-0030908365","Bio-M","Biosphere - Marine"
"2-s2.0-0031059063","Bio-M","Biosphere - Marine"
"2-s2.0-0031415277","Bio-M","Biosphere - Marine"
"2-s2.0-1842411862","Bio-M","Biosphere - Marine"
"2-s2.0-0031399170","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031350252","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030618653","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030790981","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031039325","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030727080","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030776497","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030756503","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0031091121","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0001680631","Cryos","Cryosphere"
"2-s2.0-0030620824","Cryos","Cryosphere"
"2-s2.0-0031413627","Cryos","Cryosphere"
"2-s2.0-0030990830","Cryos","Cryosphere"
"2-s2.0-0031436543","Cryos","Cryosphere"
"2-s2.0-0030863698","Geosp","Geosphere"
"2-s2.0-0031423978","Geosp","Geosphere"
"2-s2.0-0030841970","Geosp","Geosphere"
"2-s2.0-0031471596","Geosp","Geosphere"
"2-s2.0-0030726309","Geosp","Geosphere"
"2-s2.0-0031546984","Geosp","Geosphere"
"2-s2.0-0001979073","Geosp","Geosphere"
"2-s2.0-0031435772","Geosp","Geosphere"
"2-s2.0-0031463665","Geosp","Geosphere"
"2-s2.0-0030726830","Geosp","Geosphere"
"2-s2.0-0031433745","Geosp","Geosphere"
"2-s2.0-0031545448","Human","Human"
"2-s2.0-0000237401","Human","Human"
"2-s2.0-0031129747","Human","Human"
"2-s2.0-0031416477","Ocean","Oceans"
"2-s2.0-0030843906","Ocean","Oceans"
"2-s2.0-0030207030","Atmos","Atmosphere"
"2-s2.0-0030243657","Atmos","Atmosphere"
"2-s2.0-2842577245","Atmos","Atmosphere"
"2-s2.0-85040419281","Atmos","Atmosphere"
"2-s2.0-0030158076","Atmos","Atmosphere"
"2-s2.0-0030135604","Atmos","Atmosphere"
"2-s2.0-0007841722","Bio","Bioshpere"
"2-s2.0-85047676673","Bio-M","Biosphere - Marine"
"2-s2.0-0029843091","Bio-M","Biosphere - Marine"
"2-s2.0-85047675598","Bio-M","Biosphere - Marine"
"2-s2.0-0029870780","Bio-M","Biosphere - Marine"
"2-s2.0-0030124094","Bio-M","Biosphere - Marine"
"2-s2.0-0007731620","Bio-M","Biosphere - Marine"
"2-s2.0-0030301479","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85047679931","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0029663678","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0029681857","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030332957","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0029660682","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030301478","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030184125","Bio-T","Biosphere - Terrestrial"
"2-s2.0-85047675526","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0030148717","Cryos","Cryosphere"
"2-s2.0-0030422536","Cryos","Cryosphere"
"2-s2.0-0030437940","Cryos","Cryosphere"
"2-s2.0-0030304512","Geosp","Geosphere"
"2-s2.0-0001304207","Geosp","Geosphere"
"2-s2.0-0029772096","Geosp","Geosphere"
"2-s2.0-0029657726","Geosp","Geosphere"
"2-s2.0-53349175603","Geosp","Geosphere"
"2-s2.0-0030317913","Geosp","Geosphere"
"2-s2.0-0030499542","Geosp","Geosphere"
"2-s2.0-5544234700","Geosp","Geosphere"
"2-s2.0-0030482812","Geosp","Geosphere"
"2-s2.0-0030432199","Geosp","Geosphere"
"2-s2.0-0030429439","Geosp","Geosphere"
"2-s2.0-7444223495","Geosp","Geosphere"
"2-s2.0-0030427492","Geosp","Geosphere"
"2-s2.0-0029776590","Geosp","Geosphere"
"2-s2.0-0029753238","Geosp","Geosphere"
"2-s2.0-0030274783","Geosp","Geosphere"
"2-s2.0-0030498849","Geosp","Geosphere"
"2-s2.0-0029668995","Geosp","Geosphere"
"2-s2.0-0029776617","Human","Human"
