"eid","subject_abbreviation","subject"
"2-s2.0-19244376441","Atmos","Atmosphere"
"2-s2.0-1342269948","Atmos","Atmosphere"
"2-s2.0-0037261340","Atmos","Atmosphere"
"2-s2.0-0141625685","Atmos","Atmosphere"
"2-s2.0-0037327153","Bio-M","Biosphere - Marine"
"2-s2.0-0037453515","Bio-M","Biosphere - Marine"
"2-s2.0-0141676130","Bio-M","Biosphere - Marine"
"2-s2.0-2342571603","Bio-M","Biosphere - Marine"
"2-s2.0-0347604390","Bio-M","Biosphere - Marine"
"2-s2.0-0037257205","Bio-M","Biosphere - Marine"
"2-s2.0-0141528579","Bio-M","Biosphere - Marine"
"2-s2.0-0038199660","Bio-M","Biosphere - Marine"
"2-s2.0-0346343524","Bio-M","Biosphere - Marine"
"2-s2.0-0348161056","Bio-M","Biosphere - Marine"
"2-s2.0-0346343556","Bio-M","Biosphere - Marine"
"2-s2.0-0141561546","Bio-M","Biosphere - Marine"
"2-s2.0-0042236925","Bio-M","Biosphere - Marine"
"2-s2.0-0038689260","Bio-M","Biosphere - Marine"
"2-s2.0-0041733068","Bio-M","Biosphere - Marine"
"2-s2.0-0037594494","Bio-M","Biosphere - Marine"
"2-s2.0-0348228012","Bio-M","Biosphere - Marine"
"2-s2.0-0242577763","Bio-M","Biosphere - Marine"
"2-s2.0-0037228944","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0042068113","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0037359907","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0242350252","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0042375760","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0344232766","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0037261815","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0037248930","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0141683677","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0142167413","Cryos","Cryosphere"
"2-s2.0-0042205607","Cryos","Cryosphere"
"2-s2.0-1442360589","Cryos","Cryosphere"
"2-s2.0-0037443151","Geosp","Geosphere"
"2-s2.0-0348195705","Geosp","Geosphere"
"2-s2.0-84879885731","Geosp","Geosphere"
"2-s2.0-0037448541","Geosp","Geosphere"
"2-s2.0-0042426205","Geosp","Geosphere"
"2-s2.0-0038080984","Geosp","Geosphere"
"2-s2.0-0041345980","Geosp","Geosphere"
"2-s2.0-0037344807","Geosp","Geosphere"
"2-s2.0-30244508062","Geosp","Geosphere"
"2-s2.0-0042691474","Geosp","Geosphere"
"2-s2.0-4444293543","Geosp","Geosphere"
"2-s2.0-4444237070","Geosp","Geosphere"
"2-s2.0-0142026858","Geosp","Geosphere"
"2-s2.0-0037447968","Geosp","Geosphere"
"2-s2.0-0141460599","Geosp","Geosphere"
"2-s2.0-0042388633","Geosp","Geosphere"
"2-s2.0-30244529933","Geosp","Geosphere"
"2-s2.0-1442289246","Geosp","Geosphere"
"2-s2.0-0037213233","Geosp","Geosphere"
"2-s2.0-0141626559","Geosp","Geosphere"
"2-s2.0-0141746038","Geosp","Geosphere"
"2-s2.0-84871063699","Geosp","Geosphere"
"2-s2.0-1842481183","Geosp","Geosphere"
